Ids,Location1,Location2,Type,Bedrooms,Bathrooms,Size_in_SqYds,Price_in_millions,Built_in_year,Parking_Spaces,Floors_in_Building,Elevators,Store_Rooms,Lobby_in_Building,Double_Glazed_Windows,Central_Air_Conditioning,Central_Heating,Waste_Disposal,Furnished,Service_Elevators_in_Building,Flooring,Electricity_Backup,Servant_Quarters,Study_Room,Prayer_Room,Powder_Room,Gym,Lounge_or_Sitting_Room,Laundry_Room,Business_Center_or_Media_Room_in_Building,Satellite_or_Cable_TV_Ready,Broadband_Internet_Access,Intercom,Conference_Room_in_Building,Community_Swimming_Pool,Community_Lawn_or_Garden,Community_Gym,Community_Center,First_Aid_or_Medical_Centre,Day_Care_center,Kids_Play_Area,Mosque,Barbeque_Area,Lawn_or_Garden,Swimming_Pool,Sauna,Jacuzzi,Nearby_Schools,Nearby_Hospital,Nearby_Shopping_Malls,Nearby_Restaurants,Nearby_Public_Transport_Service,Other_Nearby_Places,Security_Staff,Maintainance_Staff,Laundry_or_Dry_Cleaning_Facility,Facilities_for_Disabled
0,"DHA Phase 6, DHA Defence",DHA Defence,House,6.0,6.0,600.0,220.0,,3,,,,0,1,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Saadi Town - Block 3, Saadi Town, Scheme 33",Scheme 33,House,6.0,6.0,240.0,38.5,,1,,,,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"Bahria Town - Precinct 19, Bahria Town Karachi",Bahria Town Karachi,Flat,2.0,2.0,106.0,7.2,2023-01-01,2,10.0,4.0,,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt",Cantt,House,5.0,5.0,375.0,72.5,2022-01-01,4,,,,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"Bahria Town - Precinct 35, Bahria Sports City, Bahria Town Karachi",Bahria Town Karachi,House,4.0,4.0,350.0,21.1,,1,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"Bahria Town - Precinct 10-A, Bahria Town Karachi",Bahria Town Karachi,House,3.0,3.0,250.0,18.0,,1,,,,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"DHA Phase 6, DHA Defence",DHA Defence,House,5.0,5.0,500.0,97.5,,4,,,,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"Bahria Town - Precinct 31, Bahria Town Karachi",Bahria Town Karachi,House,3.0,3.0,235.0,14.5,,1,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"Bahria Apartments, Bahria Town Karachi",Bahria Town Karachi,Flat,4.0,4.0,328.0,28.0,,1,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"DHA Phase 8, DHA Defence",DHA Defence,Flat,3.0,3.0,200.0,40.0,2022-01-01,2,5.0,2.0,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
11,"Badar Commercial Area, DHA Phase 5, DHA Defence",DHA Defence,Flat,2.0,2.0,106.0,12.0,2000-01-01,0,4.0,,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"SMCHS - Sindhi Muslim Society, Jamshed Town",Jamshed Town,House,6.0,6.0,300.0,100.0,,6,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Scheme 33,Scheme 33,Flat,3.0,3.0,165.0,11.0,2022-01-01,0,,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
15,"DHA Phase 8, DHA Defence",DHA Defence,House,6.0,6.0,500.0,165.0,2022-01-01,3,,,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,"Sehar Commercial Area, DHA Phase 7, DHA Defence",DHA Defence,Flat,2.0,2.0,100.0,10.0,2000-01-01,0,,,,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Scheme 33,Scheme 33,Flat,2.0,2.0,83.0,4.7,2022-01-01,1,5.0,1.0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Scheme 33,Scheme 33,Flat,2.0,2.0,122.0,6.7,2022-01-01,0,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"Bukhari Commercial Area, DHA Phase 6, DHA Defence",DHA Defence,Flat,2.0,2.0,61.0,8.0,,0,,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Scheme 33,Scheme 33,Flat,2.0,2.0,83.0,4.5,2021-01-01,0,,,,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,"Model Colony - Malir, Malir",Malir,House,6.0,6.0,80.0,15.0,2021-01-01,0,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Scheme 33,Scheme 33,Flat,2.0,2.0,122.0,6.5,2022-01-01,0,,1.0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Scheme 33,Scheme 33,Flat,2.0,3.0,122.0,6.0,2022-01-01,0,,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"Bahria Hills, Bahria Town Karachi",Bahria Town Karachi,Flat,2.0,2.0,103.0,10.2,,0,,,,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,"Bahria Town - Precinct 1, Bahria Town Karachi",Bahria Town Karachi,House,6.0,6.0,272.0,29.0,2023-01-01,2,,,,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,"Falcon Complex New Malir, Malir",Malir,House,4.0,4.0,350.0,71.5,,1,,,,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,"Falcon Complex New Malir, Malir",Malir,House,5.0,5.0,500.0,81.5,,1,,,,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,"Askari 5, Malir Cantonment, Cantt",Cantt,Flat,3.0,3.0,286.0,38.5,,1,,2.0,,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt",Cantt,House,5.0,5.0,375.0,69.0,,1,,,,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt",Cantt,House,5.0,5.0,375.0,68.8,,1,,,,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,"Bahria Sports City, Bahria Town Karachi",Bahria Town Karachi,House,,,350.0,20.0,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Bahria Town Karachi,,Flat,1.0,,,4.5,2025-01-01,0,8.0,2.0,,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,"Saadi Town, Scheme 33",Scheme 33,House,4.0,5.0,120.0,19.8,2022-01-01,0,,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"Bahria Heights, Bahria Town Karachi",Bahria Town Karachi,Flat,2.0,2.0,122.0,6.0,2023-01-01,2,,,,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,"Bahria Town - Precinct 10-B, Bahria Town Karachi",Bahria Town Karachi,House,3.0,4.0,125.0,14.5,2023-01-01,2,,,,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,"Bahria Paradise, Bahria Town Karachi",Bahria Town Karachi,House,,,500.0,42.0,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,"Bahria Town - Precinct 19, Bahria Town Karachi",Bahria Town Karachi,Flat,2.0,2.0,106.0,6.5,2023-01-01,1,6.0,2.0,,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,"DHA Phase 8, DHA Defence",DHA Defence,House,5.0,6.0,1000.0,360.0,2022-01-01,3,,,,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,"DHA Phase 6, DHA Defence",DHA Defence,House,4.0,4.0,500.0,105.0,,3,,,,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
41,"DHA Phase 7 Extension, DHA Defence",DHA Defence,House,5.0,5.0,150.0,51.0,,0,,,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
42,Scheme 33,Scheme 33,Flat,2.0,2.0,117.0,6.0,2022-01-01,0,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0
43,Scheme 33,Scheme 33,Flat,1.0,1.0,61.0,3.0,2022-01-01,1,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,"DHA Phase 6, DHA Defence",DHA Defence,Flat,4.0,4.0,222.0,23.5,,0,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,"DHA Phase 8, DHA Defence",DHA Defence,House,5.0,5.0,500.0,170.0,,0,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,"Clifton - Block 1, Clifton",Clifton,Flat,3.0,3.0,178.0,32.5,,0,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Hill Park,Hill Park,House,,,600.0,200.0,,0,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,"Dhoraji Colony, Gulshan-e-Iqbal Town",Gulshan-e-Iqbal Town,Flat,4.0,4.0,311.0,35.0,,0,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,"Dhoraji Colony, Gulshan-e-Iqbal Town",Gulshan-e-Iqbal Town,Flat,3.0,3.0,167.0,30.0,,0,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,"DHA Phase 8, DHA Defence",DHA Defence,House,6.0,6.0,1000.0,330.0,2023-01-01,0,,,,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,"Bahria Town - Ali Block, Bahria Town - Precinct 12, Bahria Town Karachi",Bahria Town Karachi,House,3.0,3.0,125.0,14.5,,0,,,,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,"Bahria Town - Precinct 35, Bahria Sports City, Bahria Town Karachi",Bahria Town Karachi,House,4.0,4.0,350.0,20.5,,0,,,,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,"Bahria Town - Precinct 1, Bahria Town Karachi",Bahria Town Karachi,House,5.0,6.0,272.0,35.5,2023-01-01,2,,,,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,"Askari 5 - Sector F, Askari 5, Malir Cantonment, Cantt",Cantt,Flat,3.0,3.0,286.0,39.0,,1,,2.0,,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,"Parsa City, Gazdarabad, Saddar Town",Saddar Town,Flat,3.0,3.0,178.0,34.5,,0,,,,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,"Bahria Apartments, Bahria Town Karachi",Bahria Town Karachi,Flat,2.0,2.0,106.0,8.2,,1,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,"Bahria Town - Precinct 35, Bahria Sports City, Bahria Town Karachi",Bahria Town Karachi,House,4.0,4.0,350.0,20.0,,1,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,"Bahria Town - Precinct 6, Bahria Town Karachi",Bahria Town Karachi,House,5.0,6.0,272.0,39.0,,1,,,,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,"Bahria Town - Ali Block, Bahria Town - Precinct 12, Bahria Town Karachi",Bahria Town Karachi,House,3.0,4.0,125.0,15.5,,1,,,,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,"Bahria Town - Precinct 4, Bahria Town Karachi",Bahria Town Karachi,House,6.0,7.0,500.0,59.5,2023-01-01,2,,,,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,"DHA Phase 6, DHA Defence",DHA Defence,House,5.0,5.0,500.0,130.0,,3,,,,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
62,"DHA Phase 7, DHA Defence",DHA Defence,House,6.0,6.0,500.0,115.0,,3,,,,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,"Government Teacher Housing Society - Sector 16-A, Scheme 33 - Sector 16-A, Scheme 33",,Flat,3.0,,,19.5,2025-01-01,25,6.0,1.0,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,"Gulshan-e-Kaneez Fatima - Block 4, Gulshan-e-Kaneez Fatima, Scheme 33",Scheme 33,Flat,3.0,3.0,144.0,10.0,,0,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
65,"Bahria Town - Precinct 11-B, Bahria Town - Precinct 11, Bahria Town Karachi",Bahria Town Karachi,House,,,152.0,13.5,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,"Bahria Town - Ali Block, Bahria Town - Precinct 12, Bahria Town Karachi",Bahria Town Karachi,House,,,125.0,14.0,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Khalid Bin Walid Road,Khalid Bin Walid Road,Flat,4.0,4.0,267.0,65.0,,1,,3.0,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,"Al Hamra Society, Gulshan-e-Iqbal Town",Gulshan-e-Iqbal Town,House,7.0,7.0,1000.0,300.0,,4,,,,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,"Bukhari Commercial Area, DHA Phase 6, DHA Defence",DHA Defence,Flat,3.0,3.0,122.0,14.0,,0,4.0,,,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,"Rahat Commercial Area, DHA Phase 6, DHA Defence",DHA Defence,Flat,3.0,3.0,200.0,23.5,,3,4.0,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,"Sehar Commercial Area, DHA Phase 7, DHA Defence",DHA Defence,Flat,2.0,2.0,106.0,11.8,,2,4.0,1.0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,"Clifton - Block 2, Clifton",Clifton,Flat,3.0,3.0,200.0,21.0,,0,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,"Clifton - Block 3, Clifton",Clifton,Flat,2.0,2.0,133.0,27.5,,0,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,"Clifton - Block 2, Clifton",Clifton,Flat,3.0,3.0,178.0,25.0,,0,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt",Cantt,House,5.0,5.0,375.0,71.5,,4,,,,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt",Cantt,House,5.0,5.0,375.0,70.0,2022-01-01,4,,,,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Bahria Town Karachi,Bahria Town Karachi,House,3.0,4.0,152.0,14.5,,1,,,,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,"Bahria Town - Precinct 31, Bahria Town Karachi",Bahria Town Karachi,House,3.0,3.0,235.0,15.0,,0,,,,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,"Bahria Heights, Bahria Town Karachi",Bahria Town Karachi,Flat,2.0,2.0,122.0,7.4,,1,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,"Gulshan-e-Jamal, Gulshan-e-Iqbal Town",Gulshan-e-Iqbal Town,House,6.0,6.0,300.0,70.0,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,"DHA Phase 1, DHA Defence",,Flat,4.0,,,21.5,2027-01-01,0,,,,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,"DHA Phase 1, DHA Defence",,Flat,4.0,,,28.5,2027-01-01,0,,,,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,"DHA Phase 7, DHA Defence",,Flat,4.0,,,28.5,2027-01-01,0,,,,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,"DHA Phase 7 Extension, DHA Defence",,Flat,4.0,,,21.5,2027-01-01,0,,,,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,"DHA Phase 8, DHA Defence",DHA Defence,House,5.0,5.0,1000.0,210.0,,5,,,,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
86,"DHA Phase 6, DHA Defence",DHA Defence,House,5.0,5.0,500.0,115.0,,0,,,,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0
87,"Bahria Apartments, Bahria Town Karachi",Bahria Town Karachi,Flat,,,106.0,7.2,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,"Bahria Town - Jinnah Avenue, Bahria Town Karachi",Bahria Town Karachi,Flat,,,111.0,6.2,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,"Bukhari Commercial Area, DHA Phase 6, DHA Defence",DHA Defence,Flat,4.0,4.0,200.0,25.0,2018-01-01,1,5.0,1.0,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,"Clifton - Block 7, Clifton",Clifton,Flat,3.0,3.0,222.0,45.0,2000-01-01,3,6.0,2.0,,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,"Nazimabad 2, Nazimabad",Nazimabad,Flat,2.0,2.0,130.0,12.0,,0,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
93,"Shahbaz Commercial Area, DHA Phase 6, DHA Defence",DHA Defence,Flat,2.0,2.0,106.0,11.5,,0,4.0,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,"DHA Phase 5, DHA Defence",DHA Defence,Flat,2.0,2.0,106.0,7.5,2022-01-01,2,,,,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
